itl,Exports as % of GDP*,R&D per job,Innovation active businesses,% of SMEs where finance is a major obstacle,Business births as % of all active enterprises,% of population with tertiary education (RQF 4+),% of population with no or low skills (RQF 1 or lower),% of employers providing training in past 12 months,% of vacancies which are skill shortage vacancies,% of SMEs where political uncertainty & government policy is a major obstacle,% of SMEs where legislation & regulation is a major obstacle,Economic inactivity rate,% of economic inactivity due to long-term ill health,% of population aged 16-64,FDI per job*,Gross fixed capital formation per job,Access to Gigabit-capable internet services,5G mobile coverage
TLH,0.261,3502.23,0.389,0.05,0.106,0.428,0.081,0.51,0.1,0.14,0.18,0.1978,0.259,0.6139,29238.5,9286.23,0.7498,
TLF,0.22219999999999998,1077.95,0.35100000000000003,0.05,0.10779999999999999,0.402,0.10800000000000001,0.48,0.09,0.18,0.12,0.21309999999999998,0.268,0.6223,26153.54,7045.07,0.7878000000000001,
TLI,0.3741,1663.18,0.368,0.11,0.126,0.607,0.064,0.46,0.1,0.24,0.21,0.1931,0.196,0.6883,166935.72,10011.56,0.8640000000000001,
TLC,0.2847,737.73,0.385,0.05,0.1165,0.396,0.11599999999999999,0.46,0.08,0.2,0.14,0.26839999999999997,0.33,0.6178,25460.68,8105.58,0.8004000000000001,
TLD,0.2532,1338.69,0.35100000000000003,0.08,0.1157,0.444,0.09699999999999999,0.52,0.1,0.21,0.21,0.23120000000000002,0.3,0.6248,35749.83,8205.15,0.8037000000000001,
TLN,0.2528,979.46,0.321,0.11,0.083,0.397,0.138,0.45,0.09,0.29,0.29,0.2656,0.37799999999999995,0.6206,24176.12,4559.93,0.9229,0.7219
TLM,0.2927,1100.54,0.324,0.07,0.1063,0.551,0.09,0.47,0.1,0.22,0.22,0.2397,0.316,0.6347999999999999,23071.6,7556.89,0.7301000000000001,0.7922
TLJ,0.2568,1973.66,0.402,0.08,0.0993,0.49200000000000005,0.077,0.47,0.11,0.21,0.22,0.1923,0.243,0.6173,77276.63,8185.97,0.7604000000000001,
TLK,0.19820000000000002,1172.02,0.373,0.05,0.0977,0.43799999999999994,0.08199999999999999,0.49,0.1,0.24,0.26,0.1787,0.262,0.6059,30880.85,7648.54,0.6983,
TLL,0.303,675.42,0.309,0.07,0.10289999999999999,0.43200000000000005,0.11199999999999999,0.45,0.1,0.28,0.29,0.2516,0.33399999999999996,0.6098,31374.94,6542.58,0.6694,0.7401000000000001
TLG,0.2427,1426.5,0.354,0.07,0.1133,0.425,0.105,0.49,0.1,0.19,0.19,0.22649999999999998,0.293,0.618,34207.01,7478.83,0.8275,
TLE,0.1882,739.74,0.354,0.07,0.1104,0.41200000000000003,0.10300000000000001,0.46,0.09,0.24,0.16,0.2526,0.293,0.623,32587.77,7543.04,0.8345,
