code,Exports as % of GDP,R&D per job,Innovation active businesses,% of SMEs where finance is a major obstacle,Business births as % of all active enterprises,% of population with no or low skills (RQF 1 or lower),% of population with tertiary education (RQF 4+),% of employers providing training in past 12 months,% of vacancies which are skill shortage vacancies,% of SMEs where political uncertainty & government policy is a major obstacle,% of SMEs where legislation & regulation is a major obstacle,Economic inactivity rate,% of economic inactivity due to long-term ill health,% of population aged 16-64,FDI per job,Gross fixed capital formation per job,5G mobile coverage,Access to Gigabit-capable internet services
TLC,0.2687784842176335,614.93,0.385,0.07,0.11646638518999675,0.12700000000000003,0.39899999999999997,0.605711837411709,0.0832850122504182,0.2,0.16,0.259,0.3349999999999999,0.6029033186052859,25460.68,8726.28134659293,0.4832615343792189,0.8620052673402542
TLD,0.274556981822119,1171.61,0.35100000000000003,0.07,0.1157258064516129,0.105,0.428,0.608254085953795,0.0982702363231154,0.21,0.19,0.235,0.32699999999999996,0.5938848908557569,35749.83,9335.01334245832,0.6232429516328478,0.8811494753896854
TLE,0.22622023107757605,692.12,0.354,0.08,0.11039540184322663,0.105,0.4,0.580655751165679,0.09299720713660291,0.24,0.21,0.24,0.28,0.6065111869128439,32587.77,9801.472954319293,0.6622072372613637,0.895192169623738
TLG,0.29368799920016886,1531.92,0.354,0.05,0.11330314790858129,0.109,0.433,0.5942495324436919,0.0952487891206626,0.19,0.12,0.225,0.293,0.599110667374119,34207.01,9114.260726412325,0.7252405583816851,0.8816832727022981
TLH,0.2768719194396623,3167.88,0.389,0.05,0.10604261264407963,0.07700000000000001,0.438,0.588136082887662,0.0956601382505223,0.14,0.26,0.197,0.24400000000000002,0.5898125811121769,29238.5,12096.608761688472,0.7062278385446634,0.8234948724619535
TLJ,0.28168878815235976,1778.16,0.402,0.05,0.0992915178623025,0.079,0.485,0.598122753220182,0.105212065444735,0.21,0.14,0.18399999999999997,0.21899999999999983,0.5935350219092904,77276.63,11982.87416958799,0.6539507747523067,0.8151971497658155
TLK,0.23187773832513134,912.61,0.373,0.11,0.09768335646418277,0.073,0.46099999999999997,0.612727815552627,0.10494179893771,0.24,0.21,0.19,0.28,0.5784977059188035,30880.85,10095.233464633258,0.5686404879133232,0.7702633090691561
TLL,0.3684241127494302,594.34,0.309,0.07,0.10292031502225701,0.106,0.445,0.596471171162317,0.0960988868151204,0.28,0.29,0.245,0.334,0.6057380789557844,31374.94,7969.408802197013,0.4392167779417801,0.7638914561524718
TLI,0.41184810675393835,1817.63,0.368,0.08,0.12602772103388313,0.075,0.616,0.6019463057261251,0.102981788183162,0.24,0.22,0.204,0.21799999999999997,0.6904400954735046,166935.72,14090.895400928286,0.9917096792628952,0.8960774874629905
TLF,0.24787161237339173,999.32,0.35100000000000003,0.05,0.10777482712381353,0.09899999999999999,0.42200000000000004,0.566505488797282,0.0867085200953547,0.18,0.18,0.20899999999999996,0.2949999999999999,0.5943984140293092,26153.54,10095.040200552607,0.7512836888526941,0.8582721261636544
TLM,0.3429395578126494,1017.83,0.324,0.07,0.10631490153873004,0.092,0.545,0.638828585145963,0.10089521733238699,0.22,0.22,0.23,0.3370000000000001,0.6291324383891004,23071.6,10472.297243104427,0.25377785422140675,0.7775763641971296
TLN,0.3095486292087981,1012.33,0.321,0.11,0.08299204080055637,0.125,0.419,0.580542306001679,0.09424340595818119,0.29,0.29,0.24600000000000002,0.36700000000000005,0.6106591181763648,24176.12,10581.168141171844,0.6339579450694904,0.9420257803708542
