itl1,"People reporting low satisfaction with their lives, July to Sept (Q3) 2024 Estimate %","People reporting low levels of feeling the things they do in life are worthwhile, July to Sept (Q3) 2024 Estimate %","People reporting low happiness yesterday, July to Sept (Q3) 2024 Estimate %","People reporting feeling high anxiety yesterday, July to Sept (Q3) 2024 Estimate %","People in fairly or extremely unhappy relationships, Jan 2021 to Dec 2022  Estimate %","Healthy life expectancy at birth (years), 2021 to 2023 Male (years)","Healthy life expectancy at birth (years), 2021 to 2023 Female (years)",Health Index scores (2021) for people reporting having  Physical health conditions,Health Index scores (2021) for people reporting having  Cancer,Health Index scores (2021) for people reporting having  Cardiovascular conditions,Health Index scores (2021) for people reporting having  Dementia,Health Index scores (2021) for people reporting having  Diabetes,Health Index scores (2021) for people reporting having  Kidney and liver disease,Health Index scores (2021) for people reporting having  Musculoskeletal conditions,Health Index scores (2021) for people reporting having  Respiratory conditions,"Percentage reporting some evidence of depression or anxiety, Jan 2022 to Dec 2023 Score of 4 or more %","Average daily time spent carrying out unpaid work (minutes), March 2024 Male","Average daily time spent carrying out unpaid work (minutes), March 2024 Female ","Adults who have engaged with the arts in the last 12 months (physical), May 2023 to Mar 2024  Estimate %","Percentage who have taken part in at least 150 minutes of ""moderate plus intensity"" sport and/or physical activities a week, Nov 2022 to Nov 2023  Estimate %","Percentage of people who visited green and natural spaces in their free time in the last 14 days, Apr to June (Q2) 2024 Estimate %","Incidence of personal crime per 1,000 adults, Apr 2023 to Mar 2024 Estimate","Percentage of people who felt fairly or very safe walking alone in their local area after dark by sex, Apr 2023 to Mar 2024 Male %","Percentage of people who felt fairly or very safe walking alone in their local area after dark by sex, Apr 2023 to Mar 2024 Female %","Gender pay gap for gross hourly median earnings (for full-time employees excluding overtime), for residence and workplace geographies, Apr 2024  Residence %","Gender pay gap for gross hourly median earnings (for full-time employees excluding overtime), for residence and workplace geographies, Apr 2024  Workplace %","Percentage of people aged 16 to 64 years with no qualifications, Jan to Dec 2023  Estimate %","Percentage of people aged 16 to 64 years with A-level or equivalent qualifications or higher, Jan to Dec 2023  Estimate %","Unemployment rate among economically active adults aged 16 years and over (seasonally adjusted), Sept to Nov 2024 Estimate %","Total greenhouse gas emissions, Jan to Dec 2022 MtCO2e","Recycling rate for waste from households, Jan to Dec 2022  Estimate %","Extent of protected areas at land and sea, Jan to Mar 2023 Land, million hectares ","Extent of protected areas at land and sea, Jan to Mar 2023 Sea, million hectares","Extent of protected areas at land and sea, Jan to Mar 2023 Total, million hectares"
TLF,3.4,3.1,7.5,21.2,5.8,60.4,60.2,97.4,98.7,98.6,100.4,97.0,97.0,98.2,97.2,21.2,162.8,210.9,89.6,62.2,64.6,36.2,88.9,67.0,10.2,10.1,7.7,61.9,3.8,,,,,
TLH,3.7,2.9,7.9,23.4,4.8,62.9,63.2,98.2,95.5,98.1,104.3,98.9,98.5,100.4,97.4,19.6,168.4,219.4,91.5,63.2,68.1,40.5,91.7,76.1,9.9,8.5,5.3,64.7,3.9,,,,,
TLB,4.5,3.6,7.6,22.4,5.6,,,,,,,,,,,22.5,155.8,212.0,,,67.1,42.6,89.1,69.1,8.3,8.3,6.2,67.4,4.5,299.5,43.4,3.4,9.3,12.7
TLI,5.0,4.5,7.4,23.8,6.5,63.9,64.0,115.6,109.8,120.8,102.4,104.3,100.4,120.9,110.3,23.5,114.9,189.3,89.6,64.3,67.5,44.6,89.8,76.1,7.9,12.4,5.2,74.9,6.2,,,,,
TLC,4.9,3.5,8.7,22.0,6.1,56.9,57.5,96.1,101.2,97.1,98.7,96.9,96.9,95.8,94.3,22.8,153.4,202.3,88.8,60.1,66.9,52.5,86.9,64.4,6.7,6.7,8.5,62.8,5.4,,,,,
TLD,5.3,2.7,7.9,24.6,5.1,59.1,59.9,102.7,102.5,101.8,103.9,103.0,98.6,104.2,100.0,24.0,150.7,209.1,89.5,62.1,66.8,51.0,89.2,68.7,8.6,7.0,6.7,65.8,4.2,,,,,
TLN,3.9,2.4,7.2,18.4,5.8,,,,,,,,,,,,[u],216.6,,,,,,,0.9,0.8,12.3,62.7,1.7,21.3,49.2,0.4,0.2,0.6
TLM,6.0,4.0,8.0,24.8,5.4,,,,,,,,,,,,148.8,193.5,,,,,,,2.8,2.2,8.2,73.7,3.8,39.1,42.1,2.3,22.8,25.1
TLJ,4.4,3.7,6.6,20.9,6.0,63.5,64.4,98.7,95.1,98.6,102.3,101.1,100.3,101.2,96.9,21.5,160.1,214.3,92.7,66.2,66.7,33.5,89.8,65.3,13.8,13.3,5.1,70.2,4.0,,,,,
TLK,3.9,3.6,8.5,20.2,5.0,63.0,62.9,95.8,94.6,94.6,98.8,98.9,98.3,97.6,96.5,23.4,166.6,218.3,93.1,67.5,70.9,54.8,90.8,72.0,10.5,9.5,5.1,68.2,4.0,,,,,
TLL,6.0,3.7,9.7,21.7,6.4,,,,,,,,,,,,167.2,249.4,,,,34.8,91.9,77.6,2.1,1.9,8.6,64.6,5.6,35.3,56.9,0.6,1.5,2.2
TLG,4.3,3.9,6.9,22.7,5.0,60.3,59.9,99.7,100.1,99.3,100.4,98.4,99.6,100.8,99.7,22.1,189.4,211.6,88.6,59.6,68.1,34.7,87.6,57.0,5.9,6.7,7.3,63.6,4.7,,,,,
TLE,5.1,4.3,8.6,22.2,5.9,58.8,59.3,96.1,96.5,98.5,101.3,97.7,99.5,96.8,93.0,25.0,155.4,236.1,88.5,61.7,63.8,42.1,84.5,70.7,8.5,8.0,7.6,64.8,4.0,,,,,
