itl,EU trade balance in goods (£ millions),Non-EU trade balance in goods (£ millions),US trade balance in goods (£ millions),EU trade balance in services (£ millions),Non-EU trade balance in services (£ millions),US trade balance in services (£ millions)
TLC1,67,-566,340,648,[c],332
TLC2,592,-1216,-13,657,1950,654
TLD1,252,304,182,373,[c],133
TLD3,-5759,-5551,-1270,1967,5953,2169
TLD4,-1095,1183,699,679,4078,973
TLD6,245,1231,135,271,2059,875
TLD7,-1633,-802,852,409,[c],514
TLE1,-1269,-7096,-85,[c],[c],192
TLE2,-758,-1658,-589,430,1020,148
TLE3,-1023,-93,429,566,1679,580
TLE4,-2427,-4088,412,1349,3992,1262
TLF1,-2816,2036,922,324,1694,593
TLF2,-2627,-3512,-486,1194,1718,[c]
TLF3,-1038,-1064,-34,171,516,[c]
TLG1,-4809,1045,1852,581,[c],681
TLG2,-1151,-1023,1167,325,[c],431
TLG3,-5379,539,2740,1611,4109,1389
TLH1,-3402,638,816,519,5816,1655
TLH2,-7891,-3331,1324,[c],[c],66
TLH3,-3983,-1662,379,980,2409,1050
TLI3,-6518,-5425,-2050,23464,49842,[c]
TLI4,-1832,-11079,-956,9990,17273,9811
TLI5,-523,-920,-54,361,[c],251
TLI6,-2972,-337,36,745,1293,373
TLI7,-6577,-3591,-2,7485,3565,1189
TLJ1,-24197,-7101,-757,5320,7280,[c]
TLJ2,-10721,-13611,-3154,3343,6343,2876
TLJ3,-6460,-8066,-1794,2080,4529,1625
TLJ4,-3234,-2071,385,605,2009,[c]
TLK1,-1646,-610,-370,1581,5777,2025
TLK2,-521,564,627,638,1805,[c]
TLK3,84,-60,33,293,652,[c]
TLK4,-384,-609,205,232,[c],290
TLL1,2730,-7257,844,[c],[c],[c]
TLL2,2095,-127,32,[c],[c],[c]
TLM5,5218,-1241,-1293,703,[c],145
TLM6,1633,799,391,454,[c],222
TLM7,1608,-883,-656,3154,[c],2157
TLM8,-428,2199,594,1424,2904,1197
TLM9,-254,38,-115,[c],[c],67
TLN0,-1531,150,562,[c],[c],2165
