itl,itlname,par,year,Taxonomy relative to the UK,Taxonomy relative to ITL1,GVA per hour worked,Export Intensity,New Businesses,Low Skilled,High Skilled,Active,Inactive due to Illness,Working Age,4G connected,Fibre connected,GFCF per job,ICT per job,Intangibles per job
TLC,North East,UKX,2020,Catching up, ,32.6,0.2982878589102745,0.12014017455699551,0.1926898074328468,0.34318655709554763,0.7637066110634122,0.29976641577991175,0.6182543131067942,0.8312753538083445,0.07935523774159836,8715.319773655476,360.81245475440494,1692.3237961702985
TLC,North East,UKX,2021,Catching up, ,33.5,0.2846969650661695,0.12963796540415407,0.18052388289676424,0.344653312788906,0.7473035439137135,0.30073170731707316,0.6128439244220854,0.8469558043022105,0.18612501861907924,,,
TLC,North East,UKX,2022,Catching up, ,34.0,,0.1243125719401458,0.11857265126078083,0.36743696095858847,0.7934689577984068,0.43162256933375837,0.5661115749299303,0.8569814136636602,0.325921716816382,,,
TLC11,Hartlepool and Stockton-on-Tees,TLC,2020,Catching up,Steaming ahead,37.2,0.6834307462280821,0.11169590643274854,0.17160775370581527,0.3597491448118586,0.7702394526795895,0.29528535980148884,0.6077826674520946,0.7249417223802579,0.040891990238690015,9091.401187690053,577.9242489372881,1533.9669803059974
TLC11,Hartlepool and Stockton-on-Tees,TLC,2021,Catching up,Steaming ahead,38.3,0.5801204047649545,0.1282346175963197,0.1758366420873511,0.33919455473624505,0.7560975609756098,0.32790697674418606,0.6087560038258744,0.7528633331909987,0.06991726803023186,,,
TLC11,Hartlepool and Stockton-on-Tees,TLC,2022,Catching up,Losing ground,38.8,,0.11569767441860465,0.1366687004270897,0.3465527760829774,0.8090298962782184,0.5047923322683706,0.5578112290565537,0.7315228214005055,0.29354937026102845,,,
TLC12,South Teesside,TLC,2020,Falling behind,Falling behind,29.5,0.20576596947427925,0.12439862542955327,0.23372781065088757,0.3005917159763314,0.7053254437869823,0.2791164658634538,0.6056696412572125,0.8329827054920752,0.01648661997788426,8603.364278042045,510.29998465551637,1655.1902715973608
TLC12,South Teesside,TLC,2021,Falling behind,Falling behind,29.8,,0.12669376693766937,0.18761274804570055,0.3078773301262778,0.7101623571858088,0.3070539419087137,0.5927684389124143,0.8176565451145394,0.04648405358812529,,,
TLC12,South Teesside,TLC,2022,Falling behind,Falling behind,30.2,,0.14209115281501342,0.14438839848675913,0.28940731399747793,0.7515762925598991,0.44416243654822335,0.5555944790863869,0.8571153793228319,0.1340684772768423,,,
TLC13,Darlington,TLC,2020,Catching up,Catching up,29.4,0.08513931888544891,0.10263929618768329,0.1526479750778816,0.338006230529595,0.7866043613707165,0.2773722627737226,0.6009716644668482,0.8681,0.022,9393.424036281178,739.7044839441154,2956.8063784653646
TLC13,Darlington,TLC,2021,Catching up,Catching up,29.3,,0.15552523874488403,0.15348101265822786,0.3860759493670886,0.810126582278481,0.275,0.5840495333148508,0.8835,0.037000000000000005,,,
TLC13,Darlington,TLC,2022,Catching up,Catching up,29.4,,0.11216216216216217,0.09390444810543658,0.400329489291598,0.8303130148270181,0.3883495145631068,0.5544948798289927,0.8822,0.189,,,
TLC14,Durham CC,TLC,2020,Falling behind,Falling behind,31.8,0.2808433849368411,0.12369337979094076,0.19285714285714287,0.3167701863354037,0.768944099378882,0.3118279569892473,0.6201801218788762,0.763,0.15300000000000002,9592.456158555568,209.8682162498703,1310.885130227249
TLC14,Durham CC,TLC,2021,Falling behind,Falling behind,32.8,0.27998224589436305,0.12233862791483609,0.1548727498448169,0.3249534450651769,0.7411545623836127,0.2997601918465228,0.6178959702520103,0.7947000000000001,0.376,,,
TLC14,Durham CC,TLC,2022,Falling behind,Falling behind,33.5,,0.12089752176825184,0.12205783456624075,0.33658372562205785,0.8224613315400134,0.5113636363636364,0.5631221278215278,0.8164,0.483,,,
TLC21,Northumberland,TLC,2020,Catching up,Falling behind,30.2,0.2084511728497754,0.09464027040077258,0.20700985761226726,0.3378970427163198,0.768893756845564,0.2796208530805687,0.5733304028383936,0.761,0.057,11786.235688855875,327.33140383679535,2224.1289518394246
TLC21,Northumberland,TLC,2021,Catching up,Catching up,31.7,,0.10157367668097282,0.16574279379157428,0.3553215077605322,0.7422394678492239,0.23440860215053763,0.5610639065474043,0.7601,0.102,,,
TLC21,Northumberland,TLC,2022,Catching up,Catching up,32.8,,0.0946073793755913,0.07890017931858936,0.4052600119545726,0.8027495517035266,0.32727272727272727,0.5157817500200393,0.7496,0.324,,,
TLC22,Tyneside,TLC,2020,Catching up,Catching up,32.5,0.17096106827158172,0.12235105957616953,0.18328741965105602,0.3875114784205693,0.7757575757575758,0.266994266994267,0.6393081148101096,0.907617450233351,0.08590258593488775,7231.680876657599,247.92852666684274,1123.3616092544619
TLC22,Tyneside,TLC,2021,Catching up,Steaming ahead,33.6,0.19588453122369973,0.13507201245620865,0.1901499722273653,0.39326050731346046,0.7611553416034068,0.28604651162790695,0.6340906182530281,0.932853959386383,0.22791393042777167,,,
TLC22,Tyneside,TLC,2022,Catching up,Steaming ahead,34.2,,0.13127042091101288,0.11964809384164223,0.4240469208211144,0.7784946236559139,0.4095322153574581,0.5917118692889394,0.9425375832085943,0.3370896347216606,,,
TLC23,Sunderland,TLC,2020,Falling behind,Losing ground,36.0,0.5270874057525831,0.15892053973013492,0.20346820809248556,0.2861271676300578,0.7520231213872832,0.42657342657342656,0.6323492322256865,0.8955,0.069,8846.514287529584,491.44654287847266,3302.9686929173877
TLC23,Sunderland,TLC,2021,Falling behind,Losing ground,36.2,0.45902295782167646,0.15826827537260468,0.2213916043703278,0.24554341575618172,0.7251293847038528,0.3807531380753138,0.6337971703270671,0.8957,0.114,,,
TLC23,Sunderland,TLC,2022,Catching up,Losing ground,36.5,,0.14895155459146783,0.11606022584692598,0.2904642409033877,0.7904642409033877,0.4161676646706587,0.5747167879316686,0.916,0.27499999999999997,,,
