itl,All Trade (imports) 2022,All Trade (exports) 2022,Trade in Goods (imports) 2022,Trade in Goods (exports) 2022,Trade in Services (imports) 2022,Trade in Services (exports) 2022
TLC,"18,425","19,108","13,101","11,978","5,324","7,130"
TLC1,"7,830",[c],"6,697","6,198","1,133",[c]
TLC11,"3,999","3,840","3,778","3,477",221,363
TLC12,"1,230",[c],"1,103",[c],127,848
TLC13,409,[c],204,[c],205,[c]
TLC14,"2,192","3,221","1,612","1,786",580,"1,435"
TLC2,"8,063","10,046","6,404","5,780","1,659","4,266"
TLC21,"1,305","1,667","1,132","1,083",173,584
TLC22,"3,784","5,005","2,609","2,016","1,175","2,989"
TLC23,"2,974","3,374","2,663","2,681",311,693
TLD,"71,208","68,466","48,895","37,270","22,313","31,196"
TLD1,[c],"3,597","1,710","2,266",[c],"1,331"
TLD11,[c],"1,335",493,924,[c],411
TLD12,"1,563","2,262","1,217","1,342",346,920
TLD3,"25,081","21,691","19,606","8,296","5,475","13,395"
TLD33,"8,197","10,164","4,771","1,939","3,426","8,225"
TLD34,"5,391","4,858","4,532","2,078",859,"2,780"
TLD35,"4,804","2,428","4,294","1,368",510,"1,060"
TLD36,"3,271","1,793","2,851",991,420,802
TLD37,"3,418","2,448","3,158","1,920",260,528
TLD4,"9,155","14,000","7,947","8,035","1,208","5,965"
TLD41,735,586,699,488,36,98
TLD42,234,229,190,44,44,185
TLD44,983,"1,102",848,706,135,396
TLD45,"4,898","9,532","4,227","4,782",671,"4,750"
TLD46,"1,437","1,665","1,287","1,462",150,203
TLD47,868,886,696,553,172,333
TLD6,"13,733","17,539","9,997","11,473","3,736","6,066"
TLD61,"2,551","2,398","2,193","1,902",358,496
TLD62,"5,485","8,790","2,853","5,776","2,632","3,014"
TLD63,"5,697","6,351","4,951","3,795",746,"2,556"
TLD7,[c],"11,639","9,635","7,200",[c],"4,439"
TLD71,"6,358","5,548","5,288","4,554","1,070",994
TLD72,"3,621","3,553","2,686","1,158",935,"2,395"
TLD73,"1,004","1,240",764,600,240,640
TLD74,[c],"1,298",897,888,[c],410
TLE,"51,604","38,376","39,557","21,145","12,047","17,231"
TLE1,"17,821",[c],"16,904","8,539",917,[c]
TLE11,"1,849","1,713","1,479","1,072",370,641
TLE12,"2,375",[c],"2,178","1,409",197,[c]
TLE13,"13,597","6,668","13,247","6,058",350,610
TLE2,"5,104","4,138","3,904","1,488","1,200","2,650"
TLE21,"1,038","1,498",767,283,271,"1,215"
TLE22,"4,066","2,640","3,137","1,205",929,"1,435"
TLE3,"6,336","7,465","5,002","3,886","1,334","3,579"
TLE31,"3,607","2,746","3,003","1,619",604,"1,127"
TLE32,"2,729","4,719","1,999","2,267",730,"2,452"
TLE4,"17,705","16,531","13,747","7,232","3,958","9,299"
TLE41,"2,957","3,464","1,824","1,444","1,133","2,020"
TLE42,"9,111","7,708","7,199","2,602","1,912","5,106"
TLE44,"3,026","3,893","2,494","2,374",532,"1,519"
TLE45,"2,611","1,466","2,230",812,381,654
TLF,"44,038","36,219","35,573","26,552","8,465","9,667"
TLF1,"21,035","22,273","19,189","18,409","1,846","3,864"
TLF11,"4,986","11,543","4,753","11,068",233,475
TLF12,"2,172","1,210","1,873",811,299,399
TLF13,"6,021","3,667","5,722","3,236",299,431
TLF14,"3,671","3,198","3,160","1,534",511,"1,664"
TLF15,"2,533","1,904","2,148","1,316",385,588
TLF16,"1,652",751,"1,533",444,119,307
TLF2,"14,814","11,587","12,764","6,625","2,050","4,962"
TLF21,"1,023","1,387",802,500,221,887
TLF22,"7,018","4,649","6,244","2,919",774,"1,730"
TLF24,"3,631","3,476","2,961","1,832",670,"1,644"
TLF25,"3,142","2,075","2,757","1,374",385,701
TLF3,"3,774","2,359","3,620","1,518",154,841
TLF30,"3,774","2,359","3,620","1,518",154,841
TLG,"59,506","52,875","46,237","35,459","13,269","17,416"
TLG1,"15,632",[c],"13,672","9,908","1,960",[c]
TLG11,795,[c],698,446,97,[c]
TLG12,"4,461","3,739","3,643","1,682",818,"2,057"
TLG13,"10,376","9,599","9,331","7,780","1,045","1,819"
TLG2,"12,449",[c],"11,102","8,928","1,347",[c]
TLG21,"3,053","3,062","2,733","2,412",320,650
TLG22,"1,484",[c],"1,347",796,137,[c]
TLG23,"1,177","2,029",933,455,244,"1,574"
TLG24,"6,735","6,518","6,089","5,265",646,"1,253"
TLG3,"25,193","26,073","21,463","16,623","3,730","9,450"
TLG31,"8,485","8,769","6,785","4,120","1,700","4,649"
TLG32,"5,239","7,574","4,548","6,005",691,"1,569"
TLG33,"5,358","4,563","4,934","3,291",424,"1,272"
TLG36,"1,489",861,"1,342",554,147,307
TLG37,"1,760","1,129","1,560",770,200,359
TLG38,"1,446","1,614","1,248","1,051",198,563
TLG39,"1,416","1,563","1,046",832,370,731
TLH,"73,701","58,701","50,982","31,351","22,719","27,350"
TLH1,"21,529","25,100","14,287","11,523","7,242","13,577"
TLH11,"2,707","3,198","2,335","2,502",372,696
TLH12,"11,449","14,049","5,889","5,122","5,560","8,927"
