itl,EU trade balance in goods (£ millions),Non-EU trade balance in goods (£ millions),US trade balance in goods (£ millions),EU trade balance in services (£ millions),Non-EU trade balance in services (£ millions),US trade balance in services (£ millions),EU trade balance in goods and services (£ millions),Non-EU trade balance in goods and services (£ millions),US trade balance in goods and services (£ millions)
TLC,659,-1782.0,327.0,-261.0,2067.0,,398.0,285.0,
TLD,-7990,-3635.0,598.0,-1898.0,10781.0,3910.0,-9888.0,7146.0,4508.0
TLE,-5477,-12935.0,167.0,-339.0,5523.0,1798.0,-5816.0,-7412.0,1965.0
TLF,-6481,-2540.0,402.0,-1025.0,2227.0,897.0,-7506.0,-313.0,1299.0
TLG,-11339,561.0,5759.0,-1325.0,5472.0,1983.0,-12664.0,6033.0,7742.0
TLH,-15276,-4355.0,2519.0,-1224.0,5855.0,2147.0,-16500.0,1500.0,4666.0
TLI,-18422,-21352.0,-3026.0,30453.0,65271.0,,12031.0,43919.0,
TLJ,-44612,-30849.0,-5320.0,4502.0,15772.0,6749.0,-40110.0,-15077.0,1429.0
TLK,-2467,-715.0,495.0,-448.0,7335.0,2633.0,-2915.0,6620.0,3128.0
TLL,4825,-7384.0,876.0,285.0,3579.0,1240.0,5110.0,-3805.0,2116.0
TLM,7777,912.0,-1079.0,3083.0,9422.0,3330.0,10860.0,10334.0,2251.0
TLN,-1531,150.0,562.0,242.0,3243.0,2055.0,-1289.0,3393.0,2617.0
TLC1,67,-566.0,340.0,648.0,,332.0,715.0,,672.0
TLC2,592,-1216.0,-13.0,657.0,1950.0,654.0,1249.0,734.0,641.0
TLD1,252,304.0,182.0,373.0,,133.0,625.0,,315.0
TLD3,-5759,-5551.0,-1270.0,1967.0,5953.0,2169.0,-3792.0,402.0,899.0
TLD4,-1095,1183.0,699.0,679.0,4078.0,973.0,-416.0,5261.0,1672.0
TLD6,245,1231.0,135.0,271.0,2059.0,875.0,516.0,3290.0,1010.0
TLD7,-1633,-802.0,852.0,409.0,,514.0,-1224.0,,1366.0
TLE1,-1269,-7096.0,-85.0,,,192.0,,,107.0
TLE2,-758,-1658.0,-589.0,430.0,1020.0,148.0,-328.0,-638.0,-441.0
TLE3,-1023,-93.0,429.0,566.0,1679.0,580.0,-457.0,1586.0,1009.0
TLE4,-2427,-4088.0,412.0,1349.0,3992.0,1262.0,-1078.0,-96.0,1674.0
TLF1,-2816,2036.0,922.0,324.0,1694.0,593.0,-2492.0,3730.0,1515.0
TLF2,-2627,-3512.0,-486.0,1194.0,1718.0,,-1433.0,-1794.0,
TLF3,-1038,-1064.0,-34.0,171.0,516.0,,-867.0,-548.0,
TLG1,-4809,1045.0,1852.0,581.0,,681.0,-4228.0,,2533.0
TLG2,-1151,-1023.0,1167.0,325.0,,431.0,-826.0,,1598.0
TLG3,-5379,539.0,2740.0,1611.0,4109.0,1389.0,-3768.0,4648.0,4129.0
TLH1,-3402,638.0,816.0,519.0,5816.0,1655.0,-2883.0,6454.0,2471.0
TLH2,-7891,-3331.0,1324.0,,,66.0,,,1390.0
TLH3,-3983,-1662.0,379.0,980.0,2409.0,1050.0,-3003.0,747.0,1429.0
TLI3,-6518,-5425.0,-2050.0,23464.0,49842.0,,16946.0,44417.0,
TLI4,-1832,-11079.0,-956.0,9990.0,17273.0,9811.0,8158.0,6194.0,8855.0
TLI5,-523,-920.0,-54.0,361.0,,251.0,-162.0,,197.0
TLI6,-2972,-337.0,36.0,745.0,1293.0,373.0,-2227.0,956.0,409.0
TLI7,-6577,-3591.0,-2.0,7485.0,3565.0,1189.0,908.0,-26.0,1187.0
TLJ1,-24197,-7101.0,-757.0,5320.0,7280.0,,-18877.0,179.0,
TLJ2,-10721,-13611.0,-3154.0,3343.0,6343.0,2876.0,-7378.0,-7268.0,-278.0
TLJ3,-6460,-8066.0,-1794.0,2080.0,4529.0,1625.0,-4380.0,-3537.0,-169.0
