la,Current Price (smoothed) GVA (B) per hour worked indices,Productivity Hours,Productivity Jobs,Current Price (smoothed) GVA (B) per hour worked
E06000001,72.2,"969,785","32,207",28.7
E06000002,78,"2,041,772","66,973",31.0
E06000003,72.7,"1,288,276","42,139",28.9
E06000004,107.2,"2,642,403","88,986",42.6
E06000005,74,"1,689,617","54,591",29.4
E06000006,113,"1,901,209","62,485",44.9
E06000007,95.6,"4,477,599","143,181",38.0
E06000008,76.9,"2,231,124","73,598",30.6
E06000009,74.6,"2,022,204","67,218",29.7
E06000010,80.1,"3,994,246","131,247",31.8
E06000011,101.8,"3,973,597","140,831",40.4
E06000012,86.5,"2,046,661","70,121",34.4
E06000013,112.2,"2,513,477","82,284",44.6
E06000014,98.8,"3,332,876","118,074",39.3
E06000015,92.1,"4,620,457","147,400",36.6
E06000016,90.1,"5,285,550","187,479",35.8
E06000017,88.5,"536,761","19,125",35.2
E06000018,80.1,"6,968,949","223,716",31.8
E06000019,74.5,"2,716,982","96,365",29.6
E06000020,94.6,"2,865,935","95,711",37.6
E06000021,81.6,"3,846,388","125,987",32.4
E06000022,77.6,"2,979,620","103,834",30.8
E06000023,89.7,"10,216,249","318,435",35.7
E06000024,83.2,"2,936,676","99,101",33.1
E06000025,131.4,"5,245,216","174,161",52.2
E06000026,83.1,"3,969,765","131,218",33.0
E06000027,68.1,"1,671,355","58,323",27.1
E06000030,139.5,"3,615,976","116,506",55.4
E06000031,89.8,"3,775,862","119,658",35.7
E06000032,89.4,"3,558,470","113,622",35.5
E06000033,71.7,"2,086,532","74,043",28.5
E06000034,92.2,"2,891,700","79,766",36.6
E06000035,94.5,"3,457,482","107,487",37.6
E06000036,132.6,"1,852,110","58,627",52.7
E06000037,136.2,"3,427,823","107,228",54.1
E06000038,123.4,"3,915,414","121,861",49.0
E06000039,181.7,"2,783,044","87,740",72.2
E06000040,143.5,"3,000,442","95,992",57.0
E06000041,156.8,"3,015,707","94,952",62.3
E06000042,118.8,"5,823,683","181,031",47.2
E06000043,107.1,"4,795,010","167,369",42.6
E06000044,104.4,"3,228,209","117,962",41.5
E06000045,119.5,"3,873,547","123,659",47.5
E06000046,86.6,"1,605,170","57,226",34.4
E06000047,84.2,"5,799,513","194,014",33.5
E06000049,114.9,"6,151,931","204,739",45.7
E06000050,110.7,"5,609,357","179,870",44.0
E06000051,84.4,"4,384,166","153,480",33.6
E06000052,79.6,"8,072,821","267,926",31.6
E06000053,109.5,"35,942","1,287",43.5
E06000054,97.3,"6,631,700","247,132",38.6
E06000055,79.7,"2,884,452","89,521",31.7
E06000056,90.5,"3,134,381","109,931",36.0
E06000057,82.6,"3,380,298","118,882",32.8
E06000058,95.4,"6,076,167","209,269",37.9
E06000059,87.3,"5,033,159","174,739",34.7
E06000060,100.7,"8,592,516","277,159",40.0
E06000061,76.4,"5,064,579","160,801",30.4
E06000062,90.2,"7,316,313","237,730",35.8
E06000063,73.3,"4,094,436","135,839",29.1
E06000064,90.9,"3,405,780","115,475",36.1
E06000065,92.5,"9,575,311","320,638",36.8
E06000066,83.5,"7,994,273","270,481",33.2
E07000008,113.9,"3,408,520","113,726",45.3
E07000009,92.2,"1,123,010","36,064",36.6
E07000010,75.3,"1,255,036","38,823",29.9
E07000011,97.1,"2,514,556","79,829",38.6
E07000012,107.6,"2,757,052","89,214",42.8
E07000032,95.5,"1,580,264","52,200",38.0
E07000033,108.7,"1,102,667","35,243",43.2
E07000034,90.4,"1,560,109","51,345",35.9
E07000035,76.4,"1,116,366","36,779",30.4
E07000036,77.2,"1,260,427","41,362",30.7
E07000037,76.3,"1,149,206","37,006",30.3
E07000038,89,"998,531","32,005",35.4
E07000039,137.2,"1,242,384","39,896",54.5
