itl,Grand Total,"Population ('000s, mid-year estimate)",Area (km2),Per Capita Emissions (tCO2e),Emissions per km2 (kt CO2e)
TLC31,2593.4905140786896,293.827,308.0775,8.826590184287658,8.41830550455223
TLC32,1763.0948777341994,285.46000000000004,308.3394,6.176329004884044,5.718033043244552
TLC33,562.8293405360985,109.469,197.47580000000002,5.1414495476902,2.8501180424948194
TLC41,2628.321745948111,528.127,2232.6115,4.976685051035284,1.1772409780869224
TLC42,1796.9885456410998,324.362,5077.4757,5.540071110799353,0.3539137657795388
TLC43,3537.740120988683,864.441,411.0951,4.092517732255507,8.605648962949651
TLC44,15151.83518448245,2960.394,8814.311000000002,5.118181966482316,1.7190039226528822
TLD13,2282.897283210782,275.39,3150.8012,8.289688380880868,0.7245450088094362
TLD14,7585.006044900413,730.676,11214.727599999998,10.380806328523741,0.6763433152759247
TLD33,2141.356692542933,568.996,115.6483,3.7633949843987184,18.516110418769088
TLD34,2749.162927202592,514.365,203.2421,5.344770595204946,13.526542616921358
TLD35,1946.5882687533372,529.86,229.1945,3.6737784863045655,8.493171820237123
TLD36,2413.5047686779244,633.013,327.9634,3.8127254395690517,7.359067410198591
TLD37,2679.6243297340684,665.51,399.9334,4.026422337356416,6.700176403706388
TLD41,577.302428689439,155.762,137.0221,3.70631109442251,4.213206692128051
TLD42,473.3889883509126,141.574,43.1508,3.343756539695937,10.970572697398719
TLD44,10101.904613653936,1512.409,4065.6455999999994,6.679347063958185,2.4846987680514845
TLD45,3103.3442207975395,409.86299999999994,1024.6598,7.571662289100358,3.0286581173551843
TLD46,1797.5514872542099,346.04499999999996,491.1028,5.194559919242324,3.6602346540362016
TLD47,1726.1471629658245,237.99099999999999,584.286,7.252993444986679,2.9542846533475466
TLD61,1340.6604461153977,211.58,182.3834,6.336423320329888,7.350781080489769
TLD62,2962.255009962078,406.527,1166.3577,7.2867362068499215,2.539748320744209
TLD63,9364.28722319782,1129.915,3048.7717,8.287603247321984,3.071495062486253
TLD71,2648.7692969211416,470.795,313.1804,5.626162760694446,8.45764708430394
TLD72,1746.0820463143245,496.77,133.534,3.5148701538223417,13.075936063581745
TLD73,1289.5982163891092,281.027,202.7557,4.588876571963225,6.360354931521576
TLD74,41718.221880879864,7838.566000000001,15167.676300000001,5.3221752398180815,2.750468895547294
TLE11,1031.3098245725917,268.852,81.4974,3.835976018674184,12.654511979186964
TLE12,3051.4666223870527,346.309,2495.097,8.811398555587791,1.2229851674652539
TLE13,7435.319571950569,327.796,1078.3471,22.68276480478886,6.895107866428694
TLE21,36341.480484924745,5745.813000000001,15832.516099999999,6.3248630759345525,2.2953698739598787
TLE22,5714.159664646851,623.501,8052.192800000001,9.164635926240457,0.7096401944879971
TLE32,2211.313747680881,566.242,367.93019999999996,3.9052450148185427,6.010144716799223
TLE33,1360.6411578532304,246.482,329.0776,5.520245526461285,4.134712170786557
TLE34,1424.8958094271077,268.354,286.53430000000003,5.309761767766114,4.972862967634617
TLE35,1960.220060260337,311.027,568.5513,6.302411238446621,3.4477452786764133
TLE41,2008.759844565766,552.644,366.4198,3.6348170695163,5.482126906258247
TLE42,3693.034796457103,822.483,551.7068,4.49010471518208,6.693835922372359
TLE44,2775.0539969818155,645.292,772.5124000000001,4.30046242163519,3.5922452467841492
