itl2,Contribution of GDP of each region due to domestic demand (UKGDP),Local activity to local GDP,Demand in the rest of the UK,US impact,EU impact,Rest of the World impact
TLC1,0.7713642834103582,0.02002986357391004,0.7513344198364484,0.027357343884747445,0.1188324000259215,0.0711687670463098
TLC2,0.7677546214845559,0.032479868583659956,0.7352747529008961,0.02609994694580225,0.11136294682301744,0.08325417419571574
TLD1,0.7120112384198947,0.01724221909850396,0.6947690193213909,0.03116300177191807,0.14910165551107765,0.0927779475249988
TLD3,0.8246907404597622,0.09919007105760073,0.7255006694021615,0.02978434197733251,0.06639951998729303,0.0684601521663057
TLD4,0.774058573882507,0.022778210550789463,0.7512803633317172,0.03559353151826418,0.09504252316498495,0.08263212601818963
TLD6,0.7482408762546641,0.027445828150513038,0.720795048104151,0.05448936316693758,0.07649777966672097,0.08990594467594838
TLD7,0.7978582131290219,0.040295860621704864,0.757562352507317,0.04888234204542519,0.06672359544993994,0.07331058920662482
TLE1,0.7315722741159932,0.01657933077660274,0.7149929433393898,0.03465902990746332,0.13500081520658486,0.08536656824210458
TLE2,0.7633613309818993,0.019326047838721723,0.7440352831431767,0.024961410689475133,0.13090520572073658,0.07088825913451784
TLE3,0.7828379928487278,0.03566324710181056,0.747174745746917,0.028042423619582132,0.11056981194960756,0.06831197819327095
TLE4,0.8157233985996161,0.06861941147002679,0.747103987129589,0.02931718386604943,0.07235738109112004,0.07145263643535481
TLF1,0.7975097288492572,0.027943914580992834,0.7695658142682644,0.03098819814114488,0.0828990787174577,0.0764419502704638
TLF2,0.844034576566709,0.02822688487945238,0.8158076916872568,0.016480383841972493,0.08764122409451576,0.045076218758577
TLF3,0.6897949366310093,0.01857882843037799,0.6712161082006322,0.06832992509903577,0.1587415783690065,0.07151530805638931
TLG1,0.7856279988761181,0.024501525047143036,0.7611264738289754,0.03280950901729445,0.08638624019817452,0.07930131287726275
TLG2,0.8032801230420389,0.02586169242136158,0.777418430620677,0.03159566479057105,0.08570869342963097,0.0679967877629984
TLG3,0.788291552398651,0.12459934527575689,0.6636922071228941,0.04231070162338595,0.06729433330605795,0.07510612573503239
TLH1,0.8040364228452052,0.04081849686554087,0.763217925979664,0.031734650403063225,0.0718385422779481,0.07958541385810972
TLH2,0.7997280116893182,0.030253709937559266,0.769474301751759,0.028899154660400373,0.07961370671695094,0.07446677146387139
TLH3,0.7936610095457454,0.027741949080335667,0.7659190604654099,0.029546347378057697,0.09921114101758426,0.06758718240723977
TLI3,0.732849508927642,0.05781913443998835,0.6750303744876542,0.09288925843772007,0.05132716885006332,0.1060969255578046
TLI4,0.7925557227645178,0.060598261837101916,0.7319574609274159,0.05790831405094901,0.05418491765278606,0.08507524376035884
TLI5,0.8552751281527005,0.03421711129036886,0.8210580168623318,0.022584913121729354,0.061677093469782784,0.052827411575069566
TLI6,0.8356984214708436,0.024703533018714724,0.810994888452129,0.0235570784054103,0.07115262587845943,0.06151439047417706
TLI7,0.8190225309242277,0.040790897807331854,0.7782316331168958,0.03362896973977218,0.058989417594986784,0.07865592182483006
TLJ1,0.7920809210184189,0.06138308023513823,0.7306978407832806,0.0395991357356253,0.06022134124914118,0.09551145185356494
TLJ2,0.813494411711794,0.05485125357916731,0.7586431581326267,0.03467221130003258,0.060708265857063654,0.07920658789725125
TLJ3,0.7989014519161934,0.0330357326606653,0.7658657192555282,0.032351327857373,0.07088708631594282,0.08421808413374637
TLJ4,0.806399543392067,0.029075938832704203,0.7773236045593628,0.024625722440170878,0.08917825355219884,0.06962974656120724
TLK1,0.7995738480652198,0.043877177177556397,0.7556966708876632,0.03268073062355311,0.06929920576942904,0.08051484865914922
TLK2,0.7722682203678848,0.022969515452734453,0.7492987049151504,0.02605561630539953,0.11550137849638036,0.07362714716657054
TLK3,0.6502522330511535,0.017301618735386614,0.6329506143157668,0.05527640678082014,0.15209659724435368,0.07995898543220488
TLK4,0.7762124911088212,0.02495191600137311,0.751260575107448,0.024012056191329224,0.12042420742724817,0.06732624103165392
TLL1,0.7983644968670532,0.024542054029561895,0.7738224428374912,0.029021915129923144,0.09455892340828086,0.06674690944250883
TLL2,0.7412597095685826,0.019920140086664873,0.7213395694819181,0.03155706681475909,0.1273005541385257,0.08726890259519461
TLM5,0.5616206889801287,0.1071813425633274,0.454439346416802,0.041166350766595715,0.1539442651837746,0.16828987490264213
TLM6,0.636249121873801,0.015207025147144632,0.6210420967266561,0.09269749775071258,0.17515538795782645,0.0792130557945925
TLM7,0.7978539109124811,0.04165416092215208,0.756199749990329,0.033310671328073686,0.08071566648832885,0.0769427378818402
TLM8,0.615574735680208,0.020756278373172177,0.5948184573070352,0.10313328256252215,0.1555544799156223,0.0975169752624309
TLM9,0.7769662539004859,0.015898733867512824,0.7610675200329733,0.028029868224822143,0.11857229610923299,0.06631025326747565
TLN0,0.7530760200843666,0.02943465210120141,0.7236413679831653,0.033985361919982554,0.11587506157656327,0.0854268573496079
